,Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
234,Lorenzo Booker,108.5,PHI,24,RB,17,2,48.0,178,0,10,15.0,3.6,11.6,0,2008,52.0,39.0,73.7,5.57,4.33,1.97
235,Lorenzo Taliaferro,184.67,BAL,25,RB,19,0,82.0,339,5,19,12.67,2.63,12.73,1,2016,18.0,16.0,93.33,7.8,6.83,1.1
236,Marcus Murphy,180.33,BUF,27,RB,25,1,60.0,291,0,9,18.33,3.57,21.23,4,2018,22.0,14.0,85.97,2.97,2.63,1.1
237,Marion Barber III,28.25,DAL,25,RB,60,16,715.0,3052,36,187,35.5,4.3,50.55,13,2008,172.0,137.0,77.65,7.33,5.67,2.27
238,Marion Grice,144.0,ARI,23,RB,10,0,15.0,41,1,3,8.0,2.7,4.1,0,2014,11.0,7.0,63.6,4.1,2.6,0.7
239,Mark Ingram,33.75,NOR,25,RB,50,21,582.0,2426,20,128,32.75,4.25,48.58,4,2014,70.0,53.0,72.2,5.92,4.15,1.08
240,Mark Walton,109.0,MIA,22,RB,21,4,67.0,235,0,16,14.5,3.1,15.55,1,2019,29.0,20.0,66.95,7.05,4.65,1.25
241,Marlon Mack,76.25,IND,24,RB,41,23,539.0,2383,20,149,41.25,4.85,51.3,3,2020,79.0,55.0,77.85,8.18,6.4,1.73
242,Marshawn Lynch,21.5,2TM,24,RB,57,48,852.0,3338,23,126,48.0,3.88,58.9,11,2010,156.0,115.0,74.9,7.4,5.5,2.02
243,Matt Forte,11.0,CHI,26,RB,60,60,1014.0,4233,21,190,56.25,4.22,71.35,12,2011,294.0,223.0,75.85,9.0,6.75,3.75
244,Matt Jones,91.67,IND,24,RB,25,7,248.0,964,6,60,33.67,3.6,35.4,8,2017,335.0,193.0,65.13,12.95,8.25,2.53
245,Matthew Dayes,193.0,CLE,23,RB,16,0,5.0,13,0,1,4.0,2.6,0.8,0,2017,5.0,4.0,80.0,7.3,5.8,0.3
