,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
399,Victor Abiamiri,733.33,PHI,23,LDE,29,6,0,0,0,0.0,4,2,0,2,2,1,4.0,34,22,12,4,10,0,2009
400,Victor Adeyanju,410.5,STL,26,DE,53,26,0,0,0,0.0,2,0,0,4,113,1,3.0,131,109,22,14,13,0,2009
401,Vinny Curry,562.25,PHI,27,DE,52,0,0,0,0,0.0,2,4,0,1,0,0,16.5,62,51,11,17,33,0,2015
402,Whitney Mercilus,317.5,HOU,25,LOLB,63,43,0,0,0,0.0,3,5,0,3,5,0,30.0,174,116,58,35,52,0,2015
403,Will Clarke,737.0,TAM,26,DE,50,0,0,0,0,0.0,3,0,0,2,0,0,7.0,37,27,10,6,12,0,2017
404,Will Davis,585.5,ARI,24,DE,21,3,0,0,0,0.0,0,0,0,0,0,0,3.0,33,27,6,4,3,0,2010
405,Will Smith,248.25,NOR,26,RDE,62,43,0,0,0,0.0,14,13,0,6,-3,0,33.5,220,160,60,38,36,1,2007
406,William Gholston,297.75,TAM,25,RDE,57,36,0,0,0,0.0,8,3,0,1,0,0,10.0,188,126,62,29,26,0,2016
407,William Hayes,487.5,TEN,26,DE,48,12,0,0,0,0.0,1,4,0,1,4,0,8.0,113,78,35,17,27,0,2011
408,Willie Howard,634.0,MIN,24,DE,8,0,0,0,0,0.0,0,0,0,0,0,0,0.0,15,10,5,3,0,0,2001
409,Willie Young,569.0,DET,28,RDE,46,15,0,0,0,0.0,7,1,0,2,0,0,6.0,72,45,27,11,19,0,2013
410,Yannick Ngakoue,335.75,JAX,24,LDE,63,62,2,32,1,8.0,9,14,0,3,65,1,37.5,122,105,17,42,85,0,2019
411,Yetur Gross-Matos,505.67,CAR,24,DE,43,26,0,0,0,0.0,1,2,1,4,-2,0,8.5,106,45,61,12,20,0,2022
412,Za'Darius Smith,475.75,BAL,26,ROLB,58,16,0,0,0,0.0,5,3,0,0,0,0,18.5,119,71,48,24,52,0,2018
413,Zach Allen,431.25,ARI,25,DE,45,35,1,25,0,6.25,15,0,0,3,27,1,11.5,138,79,59,21,42,0,2022
414,Zach Moore,1249.0,NWE,24,DE,8,1,0,0,0,0.0,0,1,0,1,0,0,0.5,4,0,4,0,1,0,2014
415,Zach Sieler,600.25,MIA,26,RDT,42,18,0,0,0,0.0,5,1,0,2,0,0,6.5,122,69,53,18,16,0,2021
