Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Travis Homer,132.75,SEA,24,RB,49,2,83,453,1,19,32.5,5.53,9.22,1,2022
Travis Minor,64.0,MIA,25,RB,59,4,253,1042,8,56,34.75,4.3,19.07,0,2004
Travis Prentice,76.5,MIN,25,RB,30,11,187,525,9,33,11.5,1.95,16.45,3,2001
Trayveon Williams,167.0,CIN,25,RB,23,0,47,238,0,10,27.0,4.8,9.9,1,2022
Tre Mason,40.0,STL,22,RB,25,12,254,972,5,48,52.0,3.55,39.85,5,2015
Trent Richardson,21.0,IND,24,RB,46,37,614,2032,17,65,27.0,3.3,44.37,7,2014
Trenton Cannon,168.33,2TM,27,RB,42,0,51,150,1,9,12.33,2.53,3.27,1,2021
Troy Fleming,173.0,TEN,24,RB,16,0,7,40,0,2,13.0,5.7,2.5,0,2004
Trung Canidate,100.0,WAS,26,RB,46,13,240,1095,7,48,27.0,3.67,21.77,5,2003
Ty Johnson,84.25,NYJ,25,RB,62,6,208,925,4,40,32.5,4.55,15.22,3,2022
Tyler Ervin,258.67,2TM,26,RB,26,0,6,25,0,2,6.33,5.33,1.43,5,2019
Vernand Morency,75.33,GNB,27,RB,39,3,171,726,4,12,26.33,4.07,18.2,4,2007
Verron Haynes,99.5,PIT,26,RB,53,0,159,660,3,39,18.25,4.22,12.35,4,2005
Vick Ballard,80.0,IND,23,RB,17,13,224,877,2,56,19.0,4.35,56.95,3,2013
Wali Lundy,43.0,HOU,23,RB,14,8,124,476,4,29,35.0,3.8,34.0,1,2006
Wayne Gallman,63.25,NYG,26,RB,53,14,338,1444,9,73,28.75,4.05,26.2,6,2020
Wendell Smallwood,81.0,WAS,25,RB,52,12,233,931,5,57,19.25,3.92,18.5,3,2019
William Green,51.5,CLE,26,RB,46,30,568,2109,9,102,38.25,3.77,46.03,12,2005
Willis McGahee,11.33,BUF,25,RB,46,40,868,3365,24,186,41.67,3.87,73.03,9,2006
Xavier Omon,187.5,BUF,24,RB,7,0,11,27,0,1,4.5,2.6,3.45,0,2009
Zac Stacy,62.0,NYJ,24,RB,35,17,357,1355,9,65,24.67,3.57,34.37,3,2015
Zack Moss,50.33,2TM,25,RB,39,3,301,1282,9,70,30.33,4.27,32.87,3,2022
