,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
2293,Kevin Bentley,276.25,SEA,26,LB,59,20,1,25,0,6.25,4,1,0,2,0,0,0.0,231,156,75,5,0,0,2005
2294,Kevin Boothe,1131.0,NYG,25,T,16,0,0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,2008
2295,Kevin Boss,1098.67,NYG,25,TE,43,32,0,0,0,0.0,0,1,0,2,0,0,0.0,1,1,0,0,0,0,2009
2296,Kevin Burnett,366.0,DAL,26,LB,61,4,1,39,1,9.75,7,4,0,1,0,0,4.0,149,118,31,7,8,0,2008
2297,Kevin Byard,82.0,TEN,26,FS,64,55,17,210,0,15.5,37,0,0,2,6,0,3.0,320,229,91,13,13,0,2019
2298,Kevin Curtis,1139.0,STL,26,WR,30,0,0,0,0,0.0,0,0,2,2,2,0,0.0,0,0,0,0,0,0,2004
2299,Kevin Dodd,787.5,TEN,25,DE,18,1,0,0,0,0.0,0,0,0,0,0,0,1.0,12,9,3,2,3,0,2017
2300,Kevin Dorsey,1020.0,GNB,24,WR,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,2014
2301,Kevin Dotson,1444.0,PIT,26,OL,17,17,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2022
2302,Kevin Ellison,201.0,SDG,22,SS,13,9,0,0,0,0.0,3,0,0,0,0,0,1.0,52,43,9,3,2,0,2009
2303,Kevin Everett,1030.0,BUF,25,TE,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,2007
2304,Kevin Garrett,837.67,HOU,26,DB,24,1,0,0,0,0.0,4,0,0,0,0,0,0.0,26,20,6,2,0,0,2006
2305,Kevin Houser,903.5,NOR,26,LS,64,0,0,0,0,0.0,0,0,0,0,0,0,0.0,10,9,1,0,0,0,2003
2306,Kevin Huber,957.0,CIN,24,P,16,0,0,0,0,0.0,0,0,1,1,-34,0,0.0,2,2,0,0,0,0,2009
2307,Kevin Johnson,449.5,HOU,26,DB,35,18,1,22,0,5.5,14,0,0,1,53,0,0.0,128,106,22,5,0,0,2018
2308,Kevin Jones,1198.75,DET,25,RB,53,49,0,0,0,0.0,0,0,11,5,23,0,0.0,0,0,0,0,0,0,2007
2309,Kevin Kasper,904.5,NWE,27,WR,38,8,0,0,0,0.0,0,0,1,0,0,0,0.0,15,10,5,0,0,0,2004
