Player,Rk,Age,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Lng_R,Fmb,Att_R,Yds_R,TD_R,1D_R,Y/A_R,Y/G_R,Rnd,Pick,Year,ConLenR,ConSalR,ConLen,ConSal,FTag,PPY,%Cap
Jordan Love,57.0,24.0,10.0,1.0,0.0,1.0,0.0,50.0,83.0,62.4,606.0,3.0,4.0,3.0,2.4,31.0,62.5,7.95,7.65,12.65,58.65,90.45,3.0,23.0,2.3,7.63,7.38,0.0,0.0,4.5,3.0,13.0,26.0,0.0,1.0,0.65,2.1,1.0,26.0,2020.0,4.0,12.383,0.0,0.0,0.0,0.0,0.0
Jordan Palmer,73.5,26.0,4.0,0.0,0.0,0.0,0.0,10.0,15.0,79.15,59.0,0.0,0.0,2.0,8.35,5.0,10.0,4.7,0.95,5.95,15.85,58.5,4.0,31.0,27.15,0.87,-2.35,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,1.3,6.0,205.0,2007.0,4.0,1.748,2.0,0.68,0.0,0.34,0.0028
Josh Allen,17.0,25.0,61.0,60.0,39.0,21.0,0.0,1245.0,1999.0,61.02,14114.0,103.0,4.88,46.0,2.45,724.0,61.0,6.97,6.88,11.5,227.28,88.15,118.0,773.0,5.95,6.18,6.07,8.0,11.0,34.62,39.0,879.0,4781.0,61.0,384.0,5.42,38.3,1.0,7.0,2018.0,4.0,21.443,6.0,258.034,0.0,43.0057,0.0
Josh Freeman,15.75,24.0,57.0,56.0,24.0,32.0,0.0,1101.0,1873.0,58.38,12963.0,78.0,4.1,63.0,3.62,613.0,66.5,6.88,6.08,11.82,223.7,77.97,103.0,622.0,5.4,6.18,5.42,9.0,10.0,22.75,37.0,192.0,902.0,4.0,82.0,4.67,15.88,1.0,17.0,2009.0,5.0,26.0,1.0,2.833,0.0,2.833,0.0229
Josh Johnson,53.67,25.0,26.0,5.0,0.0,5.0,0.0,96.0,177.0,63.57,1042.0,5.0,2.0,10.0,4.0,48.0,33.0,6.4,5.0,10.57,50.53,69.03,16.0,91.0,8.97,5.34,4.05,0.0,0.0,19.0,8.0,37.0,254.0,0.0,13.0,7.53,11.87,5.0,160.0,2008.0,4.0,1.927,1.0,0.7,0.0,0.7,0.0058
Josh McCown,38.75,26.0,33.0,22.0,10.0,12.0,0.0,498.0,862.0,53.4,5431.0,25.0,2.25,29.0,5.32,263.0,45.75,5.7,3.75,10.55,135.93,57.38,79.0,588.0,12.05,4.07,2.46,3.0,3.0,15.0,28.0,94.0,429.0,3.0,26.0,8.38,13.3,3.0,81.0,2002.0,3.0,1.388,1.0,1.43,0.0,1.43,0.014
Josh Rosen,51.33,24.0,24.0,16.0,3.0,13.0,0.0,277.0,513.0,42.2,2864.0,12.0,1.23,21.0,8.8,139.0,43.0,4.23,0.53,9.93,87.33,39.57,61.0,413.0,7.7,3.33,-0.26,1.0,2.0,19.5,11.0,26.0,151.0,0.0,8.0,5.15,6.05,1.0,10.0,2018.0,4.0,17.597,1.0,0.85,0.0,0.85,0.0
Joshua Dobbs,82.5,25.0,6.0,0.0,0.0,0.0,0.0,10.0,17.0,65.0,45.0,0.0,0.0,1.0,4.15,2.0,12.5,2.0,0.1,3.85,5.3,51.6,0.0,0.0,0.0,1.99,0.12,0.0,0.0,11.5,0.0,6.0,31.0,0.0,3.0,6.4,11.1,4.0,135.0,2017.0,4.0,2.999,1.0,1.04,0.0,1.04,0.0
Justin Herbert,3.33,24.0,49.0,49.0,25.0,24.0,0.0,1316.0,1966.0,66.9,14089.0,94.0,4.83,35.0,1.77,700.0,66.33,7.2,7.37,10.7,287.6,96.4,101.0,638.0,4.9,6.52,6.67,10.0,13.0,30.0,17.0,172.0,683.0,8.0,65.0,3.93,14.0,1.0,6.0,2020.0,4.0,26.578,0.0,0.0,0.0,0.0,0.0
Keith Null,47.0,24.0,4.0,4.0,0.0,4.0,0.0,73.0,119.0,61.3,566.0,3.0,2.5,9.0,7.6,30.0,25.0,4.8,1.9,7.8,141.5,49.9,13.0,82.0,9.8,3.67,1.05,0.0,0.0,3.0,3.0,5.0,6.0,0.0,0.0,1.2,1.5,6.0,196.0,2009.0,4.0,1.85,1.0,0.48,0.0,0.48,0.0039
Kellen Clemens,60.25,26.0,24.0,9.0,4.0,5.0,0.0,146.0,282.0,40.5,1680.0,5.0,0.5,11.0,6.0,91.0,23.25,4.03,1.43,7.53,44.6,49.62,35.0,186.0,25.75,2.07,-0.49,1.0,2.0,7.75,7.0,44.0,119.0,1.0,11.0,2.05,3.67,2.0,49.0,2006.0,4.0,3.22,1.0,0.7,0.0,0.7,0.0001
