Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
Jaymar Johnson,406.0,MIN,25,WR,6,0,1,1,100.0,9,9.0,0,0,9.0,9.0,0.2,1.5,0,2009
Jeff Janis,369.75,GNB,26,WR,51,1,38,17,53.65,200,15.5,1,9,23.0,5.47,0.4,4.2,0,2017
Jeff Webb,273.0,KAN,26,WR,31,3,74,36,54.2,382,9.37,1,18,19.33,4.93,1.03,10.37,2,2008
Jehu Chesson,419.5,WAS,25,WR,24,1,6,3,50.0,25,8.0,0,3,8.5,4.0,0.15,1.05,0,2018
Jeremy Ebert,370.0,JAX,24,WR,5,0,8,3,37.5,18,6.0,0,0,8.0,2.3,0.6,3.6,0,2013
Jeremy Kerley,100.5,NYJ,26,WR,58,23,289,166,57.75,2073,12.15,7,102,40.75,7.05,2.9,35.83,8,2014
Jeremy Maclin,34.5,PHI,24,WR,59,57,424,258,61.15,3453,13.4,26,151,67.0,8.2,4.38,58.75,3,2012
Jerome Mathis,363.5,HOU,24,WR,15,0,14,6,69.25,80,14.0,1,3,24.5,10.0,0.35,5.2,3,2007
Jerome Simpson,290.5,CIN,25,WR,29,18,134,71,40.23,1004,7.6,7,47,36.25,4.67,1.82,25.25,2,2011
Jerrel Jernigan,328.5,NYG,25,WR,34,4,61,38,47.78,391,6.33,2,20,12.5,4.03,1.3,11.07,2,2014
Jerricho Cotchery,130.5,NYJ,25,WR,59,32,295,189,61.02,2402,12.18,8,120,46.0,7.47,3.08,39.03,3,2007
Jerry Jeudy,76.33,DEN,23,WR,41,33,269,157,60.3,2295,14.43,9,102,66.33,8.53,3.87,55.0,3,2022
Jerry Porter,190.0,OAK,25,WR,53,16,166,99,55.85,1275,11.0,10,71,24.5,6.25,1.85,23.58,1,2003
Joe Adams,408.0,CAR,23,WR,9,0,1,1,100.0,7,7.0,0,0,7.0,7.0,0.1,0.8,4,2012
Joe Reed,517.0,LAC,22,WR,11,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2020
Joe Webb,393.0,MIN,27,WR,27,2,16,6,32.75,42,7.8,0,2,12.0,2.4,0.2,1.45,1,2013
John Broussard,336.0,JAX,24,WR,8,0,12,4,33.3,126,31.5,1,3,56.0,10.5,0.5,15.8,0,2007
John Brown,107.25,ARI,27,WR,56,27,331,173,50.77,2515,14.35,17,123,56.25,7.3,3.0,43.7,2,2017
John Hightower,295.0,PHI,24,WR,13,4,29,10,34.5,167,16.7,0,5,59.0,5.8,0.8,12.8,0,2020
John Ross,315.75,CIN,25,WR,27,20,123,51,28.7,733,9.15,10,36,30.0,3.75,1.45,21.3,2,2020
John Ursua,486.0,SEA,25,WR,3,0,1,1,100.0,11,11.0,0,1,11.0,11.0,0.3,3.7,0,2019
Johnnie Lee Higgins,230.75,OAK,27,WR,60,11,125,57,50.73,779,12.12,4,34,39.75,5.95,0.97,12.8,9,2010
Johnnie Morant,359.5,OAK,25,WR,14,2,14,8,54.15,90,15.0,0,4,19.0,7.9,0.5,6.0,2,2006
Johnny Knox,87.67,CHI,25,WR,45,27,249,133,53.63,2214,16.7,12,96,72.0,8.9,2.93,49.0,5,2011
Jonathan Baldwin,242.33,SFO,24,WR,33,11,108,44,38.77,607,12.57,2,29,37.0,4.97,1.2,16.27,0,2013
Jonathan Carter,327.67,NYJ,25,WR,24,1,25,14,43.07,266,13.53,2,10,36.0,8.77,0.4,7.87,2,2004
Jonathan Smith,337.0,BUF,24,WR,16,1,13,8,60.7,77,9.1,1,4,15.0,5.75,0.5,5.15,1,2005
Jordan Kent,432.0,STL,25,WR,14,1,10,1,16.65,5,2.5,0,1,2.5,0.85,0.1,0.5,0,2009
Jordan Matthews,63.75,BUF,25,WR,56,42,382,250,66.08,2955,11.75,20,140,55.75,7.78,4.3,50.6,4,2017
Jordan Payton,449.0,CLE,23,WR,4,0,3,1,33.3,3,3.0,0,0,3.0,1.0,0.3,0.8,0,2016
Jordan Shipley,190.67,2TM,27,WR,24,6,118,79,69.77,858,8.53,4,31,35.0,5.73,2.93,27.3,2,2012
Jordan White,466.0,NYJ,24,WR,3,0,3,1,33.3,13,13.0,0,1,13.0,4.3,0.3,4.3,0,2012
Jordy Nelson,102.0,GNB,26,WR,61,15,245,168,68.3,2531,14.28,21,106,63.25,9.85,2.73,40.7,6,2011
Josh Boyce,264.0,NWE,22,WR,9,3,19,9,47.4,121,13.4,0,6,30.0,6.4,1.0,13.4,0,2013
Josh Doctson,198.33,WAS,26,WR,33,26,162,81,44.87,1100,19.8,8,57,47.0,8.07,2.03,33.3,0,2018
Josh Huff,227.0,2TM,25,WR,37,6,83,51,59.43,523,10.33,4,20,34.0,5.9,1.37,13.43,1,2016
Josh Malone,391.67,NYJ,24,WR,24,7,28,11,40.67,91,8.83,1,5,16.67,2.93,0.53,3.67,0,2020
Josh Morgan,137.75,SFO,26,WR,49,32,223,131,60.38,1764,14.18,9,70,51.0,8.43,2.7,36.77,2,2011
Josh Reed,120.75,BUF,25,WR,60,25,252,143,55.83,1699,11.88,6,84,34.75,6.78,2.3,27.38,2,2005
Josh Reynolds,169.75,LAR,25,WR,64,24,201,113,53.38,1450,12.7,9,83,33.0,6.78,1.77,22.65,2,2020
