Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
4,109,MIN,Jaleel Johnson,DT,23,2022,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,65,,6.5,JohnJa09
4,110,JAX,Dede Westbrook,WR,23,2021,0,0,1,55,0,1,0,0,0,14,125,0,170,1788,9,1,,,WestDe00
4,111,SEA,Tedric Thompson,S,22,2021,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,63,3,,ThomTe00
4,112,CHI,Eddie Jackson,S,23,2022,1,2,5,88,0,0,0,0,0,0,0,0,0,0,0,323,14,2,JackEd01
4,113,LAC,Rayshawn Jenkins,S,23,2022,0,0,3,92,0,0,0,0,0,0,0,0,0,0,0,244,8,2.5,JenkRa00
4,114,WAS,Samaje Perine,RB,21,2022,0,0,1,76,0,0,0,0,0,401,1592,7,101,736,6,15,,,PeriSa00
4,115,ARI,Dorian Johnson,G,22,,0,0,0,,,,,,,,,,,,,,,,JohnDo03
4,116,CIN,Carl Lawson,OLB,22,2022,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,67,,27,LawsCa00
4,117,LAR,Josh Reynolds,WR,22,2022,0,0,1,90,0,0,0,0,0,8,36,0,180,2325,14,7,,,ReynJo00
4,118,PHI,Mack Hollins,WR,23,2022,0,0,0,82,1,1,4,0,0,4,40,0,113,1440,10,17,,,HollMa00
4,119,CHI,Tarik Cohen,RB,22,2020,1,1,2,51,2,3,22,2,0,264,1101,5,209,1575,9,1,,,CoheTa00
4,120,MIN,Ben Gedeon,ILB,22,2019,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,60,,,GedeBe00
4,121,SFO,Joe Williams,RB,24,,0,0,0,,,,,,,,,,,,,,,,WillJo12
4,122,BAL,Nico Siragusa,G,23,,0,0,0,,,,,,,,,,,,,,,,SiraNi00
4,123,WAS,Montae Nicholson,S,21,2019,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,92,3,,NichMo00
4,124,DET,Jalen Reeves-Maybin,LB,22,2022,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,132,,0.5,ReevJa00
4,125,LAR,Samson Ebukam,OLB,22,2022,0,0,4,96,0,0,0,0,0,0,0,0,0,0,0,137,1,23.5,EbukSa00
4,126,CLE,Howard Wilson,CB,21,,0,0,0,,,,,,,,,,,,,,,,WilsHo00
4,127,DET,Michael Roberts,TE,23,2018,0,0,0,23,0,0,0,0,0,0,0,0,13,146,3,,,,RobeMi01
4,128,CIN,Josh Malone,WR,21,2020,0,0,1,26,0,0,0,0,0,3,14,0,11,91,1,,,,MaloJo00
4,129,OAK,David Sharpe,T,21,2021,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,,,,SharDa02
4,130,HOU,Julie'n Davenport,T,22,2021,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,,,,DaveJu00
4,131,NWE,Deatrich Wise Jr.,DE,23,2022,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,139,,24.5,WiseDe00
4,132,PHI,Donnel Pumphrey,RB,22,,0,0,0,,,,,,,,,,,,,,,,PumpDo00
4,133,DAL,Ryan Switzer,WR,22,2019,0,0,0,41,0,0,0,0,0,10,26,0,50,321,1,,,,SwitRy00
4,134,GNB,Jamaal Williams,RB,22,2022,0,0,2,90,0,0,0,0,0,915,3652,30,160,1191,8,7,,,WillJa06
4,135,PIT,Joshua Dobbs,QB,22,2022,0,0,0,8,50,85,456,2,3,14,75,0,0,0,0,,,,DobbJo00
4,136,ATL,Sean Harlow,G,22,2022,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,,,,HarlSe00
4,137,IND,Zach Banner,T,23,2021,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,,,BannZa00
4,138,CIN,Ryan Glasgow,DT,23,2020,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,21,,,GlasRy00
4,139,KAN,Jehu Chesson,WR,23,2018,0,0,0,24,0,0,0,0,0,1,-4,0,3,25,0,6,,,ChesJe00
4,140,NYG,Wayne Gallman,RB,22,2021,0,0,1,61,0,0,0,0,0,366,1548,9,81,519,2,5,,,GallWa00
4,141,NYJ,Chad Hansen,WR,22,2020,0,0,0,20,0,0,0,0,0,0,0,0,26,330,1,1,,,HansCh00
4,142,HOU,Carlos Watkins,DT,23,2022,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,68,1,5,WatkCa00
4,143,IND,Marlon Mack,RB,21,2022,0,0,2,55,0,0,0,0,0,583,2568,21,65,547,3,,,,MackMa00
4,144,IND,Grover Stewart,DT,23,2022,0,0,3,96,0,0,0,0,0,0,0,0,0,0,0,141,,8.5,StewGr00
5,145,DEN,Jake Butt,TE,22,2020,0,0,0,8,0,0,0,0,0,0,0,0,10,90,0,1,,,ButtJa00
5,146,SFO,George Kittle,TE,23,2022,1,4,4,82,0,0,0,0,0,11,69,0,395,5254,31,3,,,KittGe00
5,147,CHI,Jordan Morgan,G,23,,0,0,0,,,,,,,,,,,,,,,,MorgJo02
5,148,JAX,Blair Brown,LB,23,2018,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,13,,0.5,BrowBl00
5,149,ATL,Damontae Kazee,CB,24,2022,0,0,3,78,0,0,0,0,0,0,0,0,0,0,0,183,14,,KazeDa00
5,150,NYJ,Jordan Leggett,TE,22,2018,0,0,0,15,0,0,0,0,0,0,0,0,14,114,1,,,,LeggJo00
5,151,LAC,Desmond King,S,22,2022,1,0,3,95,0,0,0,0,0,0,0,0,0,0,0,320,9,8.5,KingDe01
5,152,CAR,Corn Elder,CB,22,2021,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,36,,,EldeCo00
5,153,CIN,Jake Elliott,K,22,2022,0,1,0,96,0,1,0,0,1,0,0,0,0,0,0,2,,,ElliJa03
5,154,WAS,Jeremy Sprinkle,TE,23,2021,0,0,2,76,0,0,0,0,0,0,0,0,37,332,3,8,,,SpriJe00
5,155,TEN,Jayon Brown,LB,22,2022,0,0,3,74,0,0,0,0,0,0,0,0,0,0,0,280,4,9.5,BrowJa06
5,156,ATL,Brian Hill,RB,21,2021,0,0,0,48,0,0,0,0,0,209,982,3,38,313,1,7,,,HillBr02
5,157,ARI,Will Holden,T,23,2021,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,,,,HoldWi00
5,158,IND,Nate Hairston,CB,23,2022,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0,83,2,2,HairNa00
5,159,BAL,Jermaine Eluemunor,G,22,2022,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,,,,ElueJe00
5,160,CLE,Roderick Johnson,T,21,2020,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,,,,JohnRo06
5,161,IND,Anthony Walker,LB,22,2022,0,0,4,73,0,0,0,0,0,0,0,0,0,0,0,305,3,4.5,WalkAn01
5,162,TAM,Jeremy McNichols,RB,21,2021,0,0,0,34,0,0,0,0,0,90,364,1,40,295,1,1,,,McNiJe00
5,163,BUF,Matt Milano,LB,23,2022,1,0,3,85,0,0,0,0,0,0,0,0,0,0,0,313,8,10.5,MilaMa00
5,164,MIA,Isaac Asiata,G,24,2018,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,AsiaIs00
5,165,DET,Jamal Agnew,CB,22,2022,1,0,0,71,0,1,0,0,0,29,265,1,63,521,4,29,,,AgneJa00
5,166,PHI,Shelton Gibson,WR,23,2019,0,0,0,20,0,0,0,0,0,0,0,0,3,59,0,2,,,GibsSh00
5,167,NYG,Avery Moss,DE,22,2019,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,22,,,MossAv00
5,168,OAK,Marquel Lee,LB,21,2021,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,71,,,LeexMa01
5,169,HOU,Treston Decoud,S,24,2018,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,,,DecoTr00
5,170,MIN,Rodney Adams,WR,22,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,AdamRo01
5,171,BUF,Nathan Peterman,QB,23,2022,0,0,0,13,85,160,712,4,13,22,91,1,0,0,0,,,,PeteNa00
5,172,DEN,Isaiah McKenzie,WR,22,2022,0,0,1,80,1,1,12,1,0,47,230,4,141,1345,11,4,,,McKeIs00
5,173,PIT,Brian Allen,DB,23,2021,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,,,AlleBr01
5,174,ATL,Eric Saubert,TE,23,2022,0,0,0,74,0,0,0,0,0,0,0,0,33,280,2,9,,,SaubEr00
5,175,GNB,DeAngelo Yancey,WR,22,,0,0,0,,,,,,,,,,,,,,,,YancDe00
5,176,CIN,JJ Dielman,C,23,,0,0,0,,,,,,,,,,,,,,,,DielJJ00
5,177,SFO,Trent Taylor,WR,23,2022,0,0,0,61,0,0,0,0,0,4,15,0,87,834,3,,,,TaylTr02
5,178,MIA,Davon Godchaux,DT,22,2022,0,0,3,86,0,0,0,0,0,0,0,0,0,0,0,157,,5.5,GodcDa00
5,179,ARI,T.J. Logan,RB,23,2019,0,0,0,22,0,0,0,0,0,5,12,0,9,50,0,2,,,LogaT.00
5,180,MIN,Danny Isidora,G,23,2021,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,,,,IsidDa00
5,181,NYJ,Dylan Donahue,DL,25,2017,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,,,DonaDy00
5,182,GNB,Aaron Jones,RB,22,2022,0,1,4,86,0,0,0,0,0,1035,5284,43,242,1843,17,,,,JoneAa00
5,183,KAN,Ukeme Eligwe,LB,23,2018,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,9,,1,EligUk00
5,184,PHI,Nathan Gerry,S,22,2022,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,101,3,3.5,GerrNa00
6,185,CLE,Caleb Brantley,DT,23,2019,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,13,,2,BranCa00
6,186,BAL,Chuck Clark,DB,22,2022,0,0,3,96,0,0,0,0,0,0,0,0,0,0,0,240,5,3.5,ClarCh00
6,187,SEA,Michael Tyson,S,24,2018,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,,,TysoMi00
6,188,NYJ,Elijah McGuire,RB,23,2018,0,0,0,24,0,0,0,0,0,180,591,4,36,370,2,,,,McGuEl00
6,189,LAR,Tanzel Smart,DT,22,2022,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,15,,,SmarTa00
6,190,LAC,Sam Tevi,T,22,2020,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,,,,TeviSa00
6,191,DAL,Xavier Woods,S,22,2022,0,0,4,92,0,0,0,0,0,0,0,0,0,0,0,297,8,1,WoodXa00
6,192,CAR,Alex Armah,FB,23,2022,0,0,0,70,0,0,0,0,0,26,56,3,9,30,1,4,,,ArmaAl00
6,193,CIN,Jordan Evans,LB,22,2021,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,81,2,3.5,EvanJo01
6,194,MIA,Vincent Taylor,DT,23,2021,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,42,,2,TaylVi00
6,195,BUF,Tanner Vallejo,LB,22,2022,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,75,,2.5,VallTa00
6,196,NOR,Al-Quadin Muhammad,DE,22,2022,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,103,,12,MuhaAl00
6,197,NYJ,Jeremy Clark,CB,23,2018,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,ClarJe04
6,198,SFO,D.J. Jones,DT,22,2022,0,0,3,76,0,0,0,0,0,0,0,0,0,0,0,114,,9,JoneD.01
6,199,WAS,Chase Roullier,C,24,2022,0,0,4,69,0,0,0,0,0,0,0,0,0,0,0,,,,RoulCh00
6,200,NYG,Adam Bisnowaty,T,23,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BisnAd00
6,201,MIN,Bucky Hodges,TE,22,,0,0,0,,,,,,,,,,,,,,,,HodgBu00
6,202,SFO,Pita Taumoepenu,OLB,23,2021,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,,,TaumPi00
6,203,DEN,De'Angelo Henderson,RB,24,2018,0,0,0,8,0,0,0,0,0,9,32,0,2,36,1,2,,,HendDe01
6,204,NYJ,Derrick Jones,CB,22,2018,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,,,JoneDe02
6,205,DET,Jeremiah Ledbetter,DE,23,2022,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,9,,1.5,LedbJe00
6,206,LAR,Sam Rogers,FB,22,,0,0,0,,,,,,,,,,,,,,,,RogeSa00
