Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
5,141,SEA,Shaquem Griffin,OLB,23,2020,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,17,,1
5,142,SFO,D.J. Reed,CB,21,2022,0,0,2,72,0,0,0,0,0,0,0,0,0,0,0,212,5,1
5,143,NWE,Ja'Whaun Bentley,ILB,22,2022,0,0,2,65,0,0,0,0,0,0,0,0,0,0,0,218,2,5.5
5,144,TAM,Justin Watson,WR,22,2022,0,0,0,57,0,0,0,0,0,0,0,0,38,573,4,16,,1
5,145,CHI,Bilal Nichols,DT,21,2022,0,0,3,77,0,0,0,0,0,0,0,0,0,0,0,93,1,12.5
5,146,SEA,Tre Flowers,S,23,2022,0,0,2,73,0,0,0,0,0,0,0,0,0,0,0,206,4,2
5,147,LAR,Micah Kiser,ILB,23,2021,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,55,,
5,148,PIT,Marcus Allen,S,22,2022,0,0,0,48,0,0,0,0,0,1,4,0,0,0,0,34,,
5,149,SEA,Michael Dickson,P,22,2022,1,1,0,82,0,0,0,0,0,3,-9,0,0,0,0,1,,
5,150,CLE,Genard Avery,LB,23,2022,0,0,2,62,0,0,0,0,0,0,0,0,0,0,0,65,,8.5
5,151,CIN,Davontae Harris,CB,23,2022,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,53,,
5,152,TEN,Dane Cruikshank,CB,23,2022,0,0,0,52,0,0,0,0,0,0,0,0,1,66,1,46,1,
5,153,DET,Tyrell Crosby,T,23,2020,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,,,
5,154,BUF,Siran Neal,CB,24,2022,0,0,0,80,0,0,0,0,0,0,0,0,1,13,0,76,,1
5,155,LAC,Scott Quessenberry,C,23,2022,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,,,
5,156,DEN,Troy Fumagalli,TE,23,2020,0,0,0,19,0,0,0,0,0,0,0,0,14,118,2,1,,
5,157,MIN,Tyler Conklin,TE,23,2022,0,0,1,81,0,0,0,0,0,2,3,0,151,1474,7,3,,
5,158,CIN,Andrew Brown,DE,22,2022,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,13,,1
5,159,IND,Daurice Fountain,WR,22,2021,0,0,0,8,0,0,0,0,0,0,0,0,2,23,0,1,,
5,160,LAR,Ogbonnia Okoronkwo,DE,23,2022,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,52,,9.5
5,161,CAR,Jermaine Carter Jr.,LB,23,2022,0,0,2,72,0,0,0,0,0,0,0,0,0,0,0,96,,0.5
5,162,BAL,Jordan Lasley,WR,21,,0,0,0,,,,,,,,,,,,,,,
5,163,WAS,Tim Settle,DT,21,2022,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,45,,8
5,164,NOR,Natrell Jamerson,S,22,2020,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,11,,
5,165,PIT,Jaylen Samuels,TE,22,2021,0,0,0,45,4,5,35,0,1,136,468,1,85,564,4,1,,
5,166,BUF,Wyatt Teller,G,23,2022,0,1,3,66,0,0,0,0,0,0,0,0,1,-5,0,1,,
5,167,MIN,Daniel Carlson,K,23,2022,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,2,,
5,168,SEA,Jamarco Jones,T,22,2021,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,,,
5,169,IND,Jordan Wilkins,RB,24,2022,0,0,0,54,0,0,0,0,0,208,1009,4,41,262,0,4,,
5,170,CIN,Darius Phillips,CB,23,2022,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0,60,5,
5,171,DAL,Mike White,QB,23,2022,0,0,0,8,191,307,2145,8,12,11,8,1,0,0,0,,,
5,172,GNB,JK Scott,P,22,2022,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,2,,
5,173,OAK,Johnny Townsend,P,23,2021,0,0,0,21,0,0,0,0,0,1,42,0,0,0,0,1,,
5,174,GNB,Marquez Valdes-Scantling,WR,23,2022,0,0,3,76,0,0,0,0,0,9,48,0,165,2840,15,4,,
6,175,CLE,Damion Ratley,WR,23,2020,0,0,0,31,0,0,0,0,0,0,0,0,29,407,1,1,,
6,176,LAR,John Kelly,RB,21,2022,0,0,0,13,0,0,0,0,0,32,96,0,2,27,0,,,
6,177,HOU,Duke Ejiofor,DE,23,2018,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,,1
6,178,NWE,Christian Sam,ILB,22,,0,0,0,,,,,,,,,,,,,,,
6,179,NYJ,Parry Nickerson,CB,23,2021,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,23,,
6,180,NYJ,Folorunso Fatukasi,DT,23,2022,0,0,2,59,0,0,0,0,0,0,0,0,0,0,0,74,,4.5
6,181,CHI,Kylie Fitts,DE,23,2021,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,9,,
6,182,ARI,Christian Campbell,CB,22,,0,0,0,,,,,,,,,,,,,,,
6,183,DEN,Sam Jones,G,22,2018,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,
6,184,SFO,Marcell Harris,S,24,2022,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,105,1,1
6,185,IND,Deon Cain,WR,22,2020,0,0,0,15,0,0,0,0,0,0,0,0,9,124,0,,,
6,186,SEA,Jacob Martin,LB,22,2022,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,45,,16
6,187,BUF,Ray-Ray McCloud,WR,21,2022,0,0,0,65,0,0,0,0,0,12,162,1,78,633,1,3,,
6,188,CLE,Simeon Thomas,CB,24,2019,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,,
6,189,NOR,Kamrin Moore,CB,21,2018,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
6,190,BAL,DeShon Elliott,S,21,2022,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,149,2,3.5
6,191,LAC,Dylan Cantrell,WR,24,,0,0,0,,,,,,,,,,,,,,,
6,192,LAR,Jamil Demby,T,22,2019,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,
6,193,DAL,Chris Covington,LB,22,2019,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,,
